VALOR REAL nombre,PREDICCIONES nombre
Pinot Gris,Bordeaux-style Red Blend
Tempranillo Blend,Tempranillo Blend
Gewürztraminer,Nebbiolo
Cabernet Franc,Glera
Riesling,Rosé
Nebbiolo,Nebbiolo
Riesling,Riesling
Chardonnay,Chardonnay
Red Blend,Shiraz
Grenache,Chardonnay
Chardonnay,Chardonnay
Red Blend,Red Blend
Cabernet Sauvignon,Cabernet Sauvignon
Chardonnay,Red Blend
Chardonnay,Rosé
Nebbiolo,Mourvèdre
Pinot Gris,Pinot Gris
Red Blend,Red Blend
Pinot Gris,Glera
Bordeaux-style Red Blend,Chardonnay
Chardonnay,Tempranillo Blend
Chardonnay,Chardonnay
Shiraz,Shiraz
Bordeaux-style Red Blend,Chardonnay
Red Blend,Pinot Gris
Nebbiolo,Nebbiolo
Bordeaux-style Red Blend,Bordeaux-style Red Blend
Pinot Gris,Riesling
Nebbiolo,Nebbiolo
Gamay,Riesling
Rosé,Rosé
Malbec,Glera
Chardonnay,Chenin Blanc
Nebbiolo,Gewürztraminer
Nebbiolo,Nebbiolo
Rosé,Rosé
Gamay,Gamay
Chardonnay,White Blend
G-S-M,G-S-M
Tempranillo,Tempranillo
Cabernet Franc,Cabernet Franc
Pinot Gris,Rosé
Sangiovese,Sangiovese
Bordeaux-style Red Blend,Riesling
Syrah,Syrah
Riesling,Riesling
Chardonnay,Chardonnay
Malbec,Pinot Gris
Zinfandel,Pinot Gris
Nebbiolo,Nebbiolo
Sparkling Blend,Sparkling Blend
Merlot,Merlot
Red Blend,Red Blend
Chardonnay,Chardonnay
Red Blend,Red Blend
Malbec,Tempranillo
Red Blend,White Blend
Red Blend,Chardonnay
Zinfandel,Zinfandel
Bordeaux-style Red Blend,Red Blend
Rosé,Rosé
Shiraz,Shiraz
Chardonnay,White Blend
Pinot Gris,Pinot Gris
Tempranillo Blend,Red Blend
Nebbiolo,Nebbiolo
Cabernet Franc,Shiraz
Red Blend,Chardonnay
Rosé,Rosé
Aglianico,Chenin Blanc
Malbec,Malbec
Mourvèdre,Chenin Blanc
Sauvignon Blanc,Sauvignon Blanc
